Categoria criminologa;Sottocategoria Criminologica;Circoscrizione;Localita;Area Verde;Data;Ora
Convivenza Civile;Altro;6;PALESTRINA/PIER LUIGI (VIA)                                           ;;22/06/2015;
Convivenza Civile;Altro;2;CASTELGOMBERTO/(VIA)                                                  ;;23/06/2015;
Convivenza Civile;Altro;2;FILADELFIA/(VIA)                                                      ;;23/06/2015;
Convivenza Civile;Altro;2;FILADELFIA/(VIA)                                                      ;;23/06/2015;
Convivenza Civile;Altro;3;CASALIS/GOFFREDO (VIA)                                                ;;26/06/2015;
Convivenza Civile;Altro;9;SEBASTOPOLI/(CORSO)                                                   ;;26/06/2015;
Convivenza Civile;Altro;1;VINZAGLIO/(CORSO)                                                     ;;29/06/2015;
Convivenza Civile;Altro;7;POLIZIANO/(VIA)                                                       ;;29/06/2015;
Convivenza Civile;Altro;6;CROCE ROSSA ITALIANA (C.R.I.)/(PIAZZALE)                              ;;29/06/2015;15.30
Convivenza Civile;Altro;1;S. SECONDO/(VIA)                                                      ;;30/06/2015;08.25
Convivenza Civile;Comportamenti molesti;1;MICCA/PIETRO (VIA)                                                    ;;10/01/2015;
Convivenza Civile;Comportamenti molesti;7;OROPA/(VIA)                                                           ;;16/01/2015;
Convivenza Civile;Comportamenti molesti;6;VERCELLI/(CORSO)                                                      ;;21/01/2015;
Convivenza Civile;Comportamenti molesti;7;EMILIA/(CORSO)                                                        ;;22/01/2015;
Convivenza Civile;Comportamenti molesti;8;ADUA/(PIAZZALE)                                                       ;;09/02/2015;13.30
Convivenza Civile;Comportamenti molesti;10;GARRONE FRATELLI (VIA)                                                ;;05/03/2015;
Convivenza Civile;Comportamenti molesti;9;CANELLI/(VIA)                                                         ;;13/03/2015;12.10
Convivenza Civile;Comportamenti molesti;3;POLLENZO/(VIA)                                                        ;;07/04/2015;
Convivenza Civile;Comportamenti molesti;8;BELFIORE/(VIA)                                                        ;;12/04/2015;
Convivenza Civile;Comportamenti molesti;1;GARIBALDI/GIUSEPPE (VIA)                                              ;;19/04/2015;
Convivenza Civile;Comportamenti molesti;6;ULIVI/(VIA DEGLI)                                                     ;;23/04/2015;
Convivenza Civile;Comportamenti molesti;1;S. SECONDO/(VIA)                                                      ;;24/04/2015;
Convivenza Civile;Comportamenti molesti;9;CORRADINO/CORRADO (VIA)                                               ;;29/04/2015;13.37
Convivenza Civile;Comportamenti molesti;1;CONSOLATA/(PIAZZA DELLA)                                              ;;11/05/2015;
Convivenza Civile;Comportamenti molesti;3;MONGINEVRO/(VIA)                                                      ;;15/05/2015;
Convivenza Civile;Comportamenti molesti;4;TELESIO/BERNARDINO (CORSO)                                            ;;18/05/2015;
